# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# head-on 1v1 at tournament standard. free_hits is what the longer-ranged unit lands before the other closes.
a,b,winner,a_hits,b_hits,seconds,free_hits,untouched,note
Archer,Ronin,b,4,1,3.53,0,,
Archer,RoyalGiant,a,29,0,25.60,29,yes,b cannot target a
Archer,RoyalHogs,a,8,0,6.70,8,yes,b cannot target a
Archer,RoyalRecruits,a,8,2,6.70,5,,
Archer,SkeletonArmy,a,1,0,0.40,1,yes,
Archer,SkeletonDragons,a,5,1,4.00,3,,
Archer,SkeletonKing,b,8,2,6.70,0,,
Archer,SkeletonWarriors,a,4,1,3.10,3,,
Archer,Skeletons,a,1,0,0.40,1,yes,
Archer,SpearGoblins,a,2,1,1.30,1,,
Archer,Tesla,b,2,2,1.80,1,,
Archer,ThreeMusketeers,b,1,2,2.00,1,,
Archer,Valkyrie,b,8,2,6.70,0,,
Archer,Wallbreakers,a,3,0,2.20,3,yes,b cannot target a
Archer,Witch,b,2,3,2.60,1,,
Archer,WitchMother,b,3,3,2.70,1,,
Archer,Wizard,b,2,2,2.40,0,,
Archer,Wizard_EV1,b,2,2,2.40,0,,
Archer,Xbow,b,0,6,2.00,6,yes,
Archer,ZapMachine,b,3,1,3.00,0,,
Archer,goblinstein_doctor,b,5,3,4.90,0,,
ArcherQueen,Archer_EV1,a,2,0,2.10,2,yes,
ArcherQueen,Assassin,a,5,3,5.70,3,,
ArcherQueen,AxeMan,b,4,6,5.40,0,,
ArcherQueen,BabyDragon,a,6,4,6.90,2,,
ArcherQueen,Balloon,a,8,0,9.30,8,yes,b cannot target a
ArcherQueen,Barbarians,a,4,0,4.50,4,yes,
ArcherQueen,Barbarians_EV1,a,4,0,4.50,4,yes,
ArcherQueen,Bats,a,1,0,0.90,1,yes,
ArcherQueen,BattleHealer,a,9,3,10.50,4,,
ArcherQueen,BattleRam,a,5,0,5.70,5,yes,b cannot target a
ArcherQueen,Berserker,a,4,3,4.50,2,,
ArcherQueen,BlowdartGoblin,a,2,4,3.60,0,,
ArcherQueen,BombTower,b,6,5,8.50,1,,
ArcherQueen,Bomber,a,2,1,2.10,2,,
ArcherQueen,BossBandit,b,6,5,7.90,0,,
ArcherQueen,Bowler,b,9,4,10.83,0,,
ArcherQueen,BushGoblin,a,2,0,2.10,2,yes,
ArcherQueen,Cannon,b,3,5,4.10,2,,
ArcherQueen,DarkPrince,b,7,4,9.00,0,,
ArcherQueen,DarkWitch,a,5,2,5.70,3,,
ArcherQueen,DartBarrell,a,3,4,4.30,0,,
ArcherQueen,ElectroDragon,a,5,2,5.70,2,,
ArcherQueen,ElectroGiant,a,18,0,21.30,18,yes,b cannot target a
ArcherQueen,ElectroSpirit,a,1,0,0.90,1,yes,
ArcherQueen,ElectroWizard,a,4,2,4.50,1,,
ArcherQueen,EliteArcher,a,3,5,5.30,0,,
ArcherQueen,ElixirGolem,a,7,0,8.10,7,yes,b cannot target a
ArcherQueen,ElixirGolem2,a,4,0,4.50,4,yes,b cannot target a
ArcherQueen,ElixirGolem4,a,2,0,2.10,2,yes,b cannot target a
ArcherQueen,FireSpirits,a,1,0,0.90,1,yes,
ArcherQueen,Firecracker,a,2,1,3.10,1,,
ArcherQueen,FirespiritHut,a,4,3,5.00,0,,
ArcherQueen,Fisherman,a,4,0,4.50,4,yes,
ArcherQueen,Ghost,a,6,2,6.90,3,,
ArcherQueen,Giant,a,18,0,21.30,18,yes,b cannot target a
ArcherQueen,GiantBuffer,a,13,0,15.30,13,yes,b cannot target a
ArcherQueen,GiantSkeleton,b,7,4,9.10,0,,
ArcherQueen,GoblinDemolisher,b,5,6,6.10,1,,
ArcherQueen,GoblinGang,a,1,0,0.90,1,yes,
ArcherQueen,GoblinGiant,a,14,0,16.50,14,yes,b cannot target a
ArcherQueen,GoblinMachine,b,8,5,9.30,0,,
ArcherQueen,Goblins,a,1,0,0.90,1,yes,
ArcherQueen,Goblinstein,a,11,0,12.90,11,yes,b cannot target a
ArcherQueen,GoldenKnight,a,8,6,9.30,4,,
ArcherQueen,Golem,a,23,0,27.30,23,yes,b cannot target a
ArcherQueen,Golemite,a,5,0,5.70,5,yes,b cannot target a
ArcherQueen,Heal,a,1,0,0.90,1,yes,
ArcherQueen,HogRider,a,8,0,9.30,8,yes,b cannot target a
ArcherQueen,IceGolemite,a,6,0,6.90,6,yes,b cannot target a
ArcherQueen,IceSpirits,a,1,0,0.90,1,yes,
ArcherQueen,IceWizard,a,4,3,5.00,0,,
ArcherQueen,InfernoDragon,b,4,8,5.50,0,,
ArcherQueen,InfernoTower,b,2,8,4.00,2,,
ArcherQueen,KingTower,b,7,11,10.50,3,,
ArcherQueen,Knight,both,8,5,9.30,0,,they kill each other on the same tick
ArcherQueen,LavaHound,a,16,0,18.90,16,yes,b cannot target a
ArcherQueen,LavaPups,a,1,0,0.90,1,yes,
ArcherQueen,LittlePrince,a,4,4,5.00,0,,
ArcherQueen,MegaKnight,b,8,4,10.10,0,,
ArcherQueen,MegaMinion,a,4,1,4.50,4,,
ArcherQueen,MightyMiner,b,6,9,7.30,0,,
ArcherQueen,Miner,a,6,3,6.90,3,,
ArcherQueen,MiniPekka,b,4,2,5.50,0,,
ArcherQueen,MiniSparkys,a,3,1,3.30,1,,
ArcherQueen,MinionHorde,a,2,0,2.10,2,yes,
ArcherQueen,Minions,a,2,0,2.10,2,yes,
ArcherQueen,Monk,b,8,8,10.00,0,,
ArcherQueen,Mortar,a,7,3,14.60,0,,
ArcherQueen,MovingCannon,b,3,5,4.00,2,,
ArcherQueen,Musketeer,b,3,5,4.30,2,,
ArcherQueen,Musketeer_EV1,b,3,5,4.30,2,,
ArcherQueen,Pekka,b,7,2,8.17,0,,
ArcherQueen,Phoenix,a,5,2,5.70,3,,
ArcherQueen,Prince,b,6,3,7.10,0,,
ArcherQueen,PrincessTower,b,4,11,8.00,5,,
ArcherQueen,RageBarbarian,b,4,4,4.95,0,,
ArcherQueen,RamRider,a,8,0,9.30,8,yes,b cannot target a
ArcherQueen,RascalGirl,a,2,2,2.10,0,,
ArcherQueen,Rascals,a,9,4,10.50,4,,
ArcherQueen,Ronin,b,5,3,6.33,0,,
ArcherQueen,RoyalGiant,a,15,0,17.70,15,yes,b cannot target a
ArcherQueen,RoyalHogs,a,4,0,4.50,4,yes,b cannot target a
ArcherQueen,RoyalRecruits,a,5,2,5.70,3,,
ArcherQueen,SkeletonArmy,a,1,0,0.90,1,yes,
ArcherQueen,SkeletonDragons,a,3,1,3.30,2,,
ArcherQueen,SkeletonKing,b,9,5,11.50,0,,
ArcherQueen,SkeletonWarriors,a,3,1,3.30,2,,
ArcherQueen,Skeletons,a,1,0,0.90,1,yes,
ArcherQueen,SpearGoblins,a,1,0,0.90,1,yes,
ArcherQueen,Tesla,b,4,5,5.10,1,,
ArcherQueen,ThreeMusketeers,a,4,4,5.50,0,,
ArcherQueen,Valkyrie,b,8,4,9.70,0,,
ArcherQueen,Wallbreakers,a,2,0,2.10,2,yes,b cannot target a
ArcherQueen,Witch,a,4,5,5.00,0,,
ArcherQueen,WitchMother,a,3,4,3.80,0,,
ArcherQueen,Wizard,a,4,3,5.00,0,,
ArcherQueen,Wizard_EV1,b,4,4,5.20,1,,
ArcherQueen,Xbow,b,0,18,6.80,18,yes,
ArcherQueen,ZapMachine,b,2,1,3.00,0,,
ArcherQueen,goblinstein_doctor,a,4,3,5.00,0,,
Archer_EV1,Assassin,b,1,2,1.60,1,,
Archer_EV1,AxeMan,b,0,2,1.30,2,yes,
Archer_EV1,BabyDragon,b,0,2,2.70,2,yes,
Archer_EV1,Balloon,a,15,0,13.10,15,yes,b cannot target a
Archer_EV1,Barbarians,b,2,2,2.40,1,,
Archer_EV1,Barbarians_EV1,b,2,2,2.40,1,,
Archer_EV1,Bats,a,1,1,1.60,0,,
Archer_EV1,BattleHealer,b,2,2,3.60,1,,
Archer_EV1,BattleRam,a,9,0,8.10,9,yes,b cannot target a
Archer_EV1,Berserker,b,1,3,1.60,2,,
Archer_EV1,BlowdartGoblin,b,0,3,2.05,3,yes,
Archer_EV1,BombTower,b,0,2,3.10,2,yes,
Archer_EV1,Bomber,b,0,2,3.40,2,yes,
Archer_EV1,BossBandit,b,1,2,1.80,1,,
Archer_EV1,Bowler,b,1,2,4.50,1,,
Archer_EV1,BushGoblin,b,2,2,2.50,1,,
Archer_EV1,Cannon,b,0,2,1.10,2,yes,
Archer_EV1,DarkPrince,b,1,2,2.40,1,,
Archer_EV1,DarkWitch,b,0,1,0.55,1,yes,
Archer_EV1,DartBarrell,b,0,2,1.70,2,yes,
Archer_EV1,ElectroDragon,b,0,2,3.50,2,yes,
Archer_EV1,ElectroGiant,a,36,0,33.10,36,yes,b cannot target a
Archer_EV1,ElectroSpirit,a,2,1,3.80,0,,
Archer_EV1,ElectroWizard,b,0,3,4.80,3,yes,
Archer_EV1,EliteArcher,b,0,3,2.60,3,yes,
Archer_EV1,ElixirGolem,a,15,0,13.80,15,yes,b cannot target a
Archer_EV1,ElixirGolem2,a,7,0,6.60,7,yes,b cannot target a
Archer_EV1,ElixirGolem4,a,4,0,3.90,4,yes,b cannot target a
Archer_EV1,FireSpirits,a,2,1,3.80,0,,
Archer_EV1,Firecracker,a,3,2,8.20,0,,
Archer_EV1,FirespiritHut,b,0,2,2.90,2,yes,
Archer_EV1,Fisherman,b,2,2,2.50,1,,
Archer_EV1,Ghost,b,2,2,3.00,1,,
Archer_EV1,Giant,a,36,0,33.10,36,yes,b cannot target a
Archer_EV1,GiantBuffer,a,26,0,24.10,26,yes,b cannot target a
Archer_EV1,GiantSkeleton,b,2,2,2.30,1,,
Archer_EV1,GoblinDemolisher,b,0,2,1.70,2,yes,
Archer_EV1,GoblinGang,a,2,2,1.80,0,,
Archer_EV1,GoblinGiant,a,28,0,25.90,28,yes,b cannot target a
Archer_EV1,GoblinMachine,b,1,2,1.90,1,,
Archer_EV1,Goblins,a,2,2,1.80,0,,
Archer_EV1,Goblinstein,a,22,0,20.50,22,yes,b cannot target a
Archer_EV1,GoldenKnight,b,1,2,1.60,1,,
Archer_EV1,Golem,a,46,0,41.65,46,yes,b cannot target a
Archer_EV1,Golemite,a,10,0,8.75,10,yes,b cannot target a
Archer_EV1,Heal,a,2,1,3.80,0,,
Archer_EV1,HogRider,a,16,0,14.70,16,yes,b cannot target a
Archer_EV1,IceGolemite,a,12,0,11.05,12,yes,b cannot target a
Archer_EV1,IceSpirits,a,2,1,3.80,0,,
Archer_EV1,IceWizard,b,1,4,6.30,3,,
Archer_EV1,InfernoDragon,b,0,4,2.40,4,yes,
Archer_EV1,InfernoTower,b,0,4,2.40,4,yes,
Archer_EV1,KingTower,b,0,4,3.50,4,yes,
Archer_EV1,Knight,b,1,2,1.90,1,,
Archer_EV1,LavaHound,a,32,0,31.80,32,yes,b cannot target a
Archer_EV1,LavaPups,a,2,2,2.90,0,,
Archer_EV1,LittlePrince,b,0,3,3.20,3,yes,
Archer_EV1,MegaKnight,b,2,2,2.90,1,,
Archer_EV1,MegaMinion,b,0,1,1.10,1,yes,
Archer_EV1,MightyMiner,b,1,5,2.30,4,,
Archer_EV1,Miner,b,1,2,2.10,1,,
Archer_EV1,MiniPekka,b,0,1,1.10,1,yes,
Archer_EV1,MiniSparkys,b,2,3,5.80,2,,
Archer_EV1,MinionHorde,b,1,3,3.10,2,,
Archer_EV1,Minions,b,1,3,3.10,2,,
Archer_EV1,Monk,b,1,3,2.20,2,,
Archer_EV1,Mortar,b,0,2,8.40,2,yes,
Archer_EV1,MovingCannon,b,0,2,1.30,2,yes,
Archer_EV1,Musketeer,b,0,2,1.30,2,yes,
Archer_EV1,Musketeer_EV1,b,0,2,1.30,2,yes,
Archer_EV1,Pekka,b,0,1,1.30,1,yes,
Archer_EV1,Phoenix,b,0,2,1.40,2,yes,
Archer_EV1,Prince,b,0,1,0.90,1,yes,
Archer_EV1,PrincessTower,b,0,4,2.40,4,yes,
Archer_EV1,RageBarbarian,b,1,2,1.20,1,,
Archer_EV1,RamRider,a,16,0,14.70,16,yes,b cannot target a
Archer_EV1,RascalGirl,b,0,3,2.50,3,yes,
Archer_EV1,Rascals,b,2,2,2.60,1,,
Archer_EV1,Ronin,b,0,1,1.00,1,yes,
Archer_EV1,RoyalGiant,a,29,0,30.60,29,yes,b cannot target a
Archer_EV1,RoyalHogs,a,8,0,7.45,8,yes,b cannot target a
Archer_EV1,RoyalRecruits,b,2,3,3.40,1,,
Archer_EV1,SkeletonArmy,a,1,1,0.90,0,,
Archer_EV1,SkeletonDragons,b,2,3,5.60,2,,
Archer_EV1,SkeletonKing,b,2,2,2.90,1,,
Archer_EV1,SkeletonWarriors,b,1,3,2.50,2,,
Archer_EV1,Skeletons,a,1,1,0.90,0,,
Archer_EV1,SpearGoblins,b,1,4,5.90,3,,
Archer_EV1,Tesla,b,0,2,1.80,2,yes,
Archer_EV1,ThreeMusketeers,b,0,2,2.00,2,yes,
Archer_EV1,Valkyrie,b,2,2,2.90,1,,
Archer_EV1,Wallbreakers,a,3,0,2.70,3,yes,b cannot target a
Archer_EV1,Witch,b,0,3,2.60,3,yes,
Archer_EV1,WitchMother,b,0,3,2.70,3,yes,
Archer_EV1,Wizard,b,0,2,2.40,2,yes,
Archer_EV1,Wizard_EV1,b,0,2,2.40,2,yes,
Archer_EV1,Xbow,b,0,6,2.00,6,yes,
Archer_EV1,ZapMachine,b,0,1,3.00,1,yes,
Archer_EV1,goblinstein_doctor,b,0,3,4.90,3,yes,
Assassin,AxeMan,b,2,6,4.90,3,,
Assassin,BabyDragon,b,0,6,8.70,6,yes,a cannot target b
Assassin,Balloon,neither,0,0,0.00,0,,neither can target the other
Assassin,Barbarians,a,4,2,3.60,1,,
Assassin,Barbarians_EV1,a,4,2,3.60,1,,
Assassin,Bats,b,0,12,13.80,12,yes,a cannot target b
Assassin,BattleHealer,b,0,4,7.60,4,yes,a cannot target b
Assassin,BattleRam,a,5,0,4.60,5,yes,b cannot target a
Assassin,Berserker,a,5,8,4.63,0,,
Assassin,BlowdartGoblin,b,1,6,4.45,5,,
Assassin,BombTower,b,5,5,8.50,2,,
Assassin,Bomber,a,2,2,4.10,0,,
Assassin,BossBandit,b,4,4,4.00,0,,
Assassin,Bowler,b,7,4,9.50,1,,
Assassin,BushGoblin,a,2,1,1.63,1,,
Assassin,Cannon,b,1,5,4.10,4,,
Assassin,DarkPrince,b,5,4,5.20,0,,
Assassin,DarkWitch,b,2,3,3.15,1,,
Assassin,DartBarrell,b,0,6,6.10,6,yes,a cannot target b
Assassin,ElectroDragon,b,0,5,9.80,5,yes,a cannot target b
Assassin,ElectroGiant,a,21,0,20.90,21,yes,b cannot target a
Assassin,ElectroSpirit,a,2,1,2.77,0,,
Assassin,ElectroWizard,a,4,3,6.43,0,,
Assassin,EliteArcher,a,3,6,6.77,0,,
Assassin,ElixirGolem,a,9,0,8.63,9,yes,b cannot target a
Assassin,ElixirGolem2,a,4,0,3.63,4,yes,b cannot target a
Assassin,ElixirGolem4,a,2,0,1.63,2,yes,b cannot target a
Assassin,FireSpirits,a,2,1,2.77,0,,
Assassin,Firecracker,a,2,1,5.10,0,,
Assassin,FirespiritHut,a,4,4,6.77,0,,
Assassin,Fisherman,a,5,3,4.90,1,,
Assassin,Ghost,b,0,4,6.60,4,yes,a cannot target b
Assassin,Giant,a,21,0,20.90,21,yes,b cannot target a
Assassin,GiantBuffer,a,15,0,14.90,15,yes,b cannot target a
Assassin,GiantSkeleton,b,5,4,4.90,0,,
Assassin,GoblinDemolisher,b,2,5,5.00,3,,
Assassin,GoblinGang,a,2,1,1.60,1,,
Assassin,GoblinGiant,a,17,0,16.90,17,yes,b cannot target a
Assassin,GoblinMachine,b,4,4,4.30,1,,
Assassin,Goblins,a,2,1,1.60,1,,
Assassin,Goblinstein,a,13,0,12.90,13,yes,b cannot target a
Assassin,GoldenKnight,b,5,6,5.20,1,,
Assassin,Golem,a,27,0,26.60,27,yes,b cannot target a
Assassin,Golemite,a,6,0,5.60,6,yes,b cannot target a
Assassin,Heal,a,2,1,2.77,0,,
Assassin,HogRider,a,9,0,8.63,9,yes,b cannot target a
Assassin,IceGolemite,a,7,0,6.60,7,yes,b cannot target a
Assassin,IceSpirits,a,2,1,2.77,0,,
Assassin,IceWizard,a,4,4,6.77,0,,
Assassin,InfernoDragon,b,0,8,4.00,8,yes,a cannot target b
Assassin,InfernoTower,b,0,8,4.00,8,yes,
Assassin,KingTower,b,5,10,9.50,5,,
Assassin,Knight,b,5,5,5.50,1,,
Assassin,LavaHound,neither,0,0,0.00,0,,neither can target the other
Assassin,LavaPups,b,0,12,19.40,12,yes,a cannot target b
Assassin,LittlePrince,a,4,5,6.77,0,,
Assassin,MegaKnight,b,6,4,6.30,0,,
