# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# rows are defenders, columns are attackers, tournament standard.
# cell is 'hits alone / troop hits + tower hits when a Princess Tower fires too', both engaged from tick zero.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
Barbarians_EV1,2/2+3,7/4+4,4/2+3,7/4+4,2/1+4,4/2+4,4/3+3,5/2+5,,4/1+6,4/2+4,4/2+4,9/3+6,3/1+5,,8/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+7,7/2+6,6/3+4,,,,4/1+6,2/1+1,12/2+7,4/2+4,4/2+4,5/1+7,3/2+4,,,3/2+3,4/2+4,6/3+4,,4/2+3,6/3+4,,5/3+4,,,7/1+7,,,7/1+7,9/2+6,10/5+4,9/4+4,8/3+5,4/2+4,,9/3+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,7/2+6,7/3+5,7/3+5,6/3+4,3/1+5,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/2+5,9/4+5,5/2+5,4/2+4,7/3+4,9/4+5,4/1+6,9/3+6,4/2+3,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,13/7+4,4/1+6,1/1+4,6/2+5
Bats,,1/0+1,1/0+1,1/0+1,1/1+1,,1/0+1,1/0+1,,1/1+1,,,1/0+1,,,,1/0+1,,,,,,,,,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,,,,1/0+1,1/1+1,2/0+1,1/0+1,,1/1+1,,,,,,,,,,,,,,1/0+1,,,1/0+1,1/0+1,3/0+1,2/0+1,1/0+1,,,1/0+1,1/1+1,1/0+1,1/1+1,,1/0+1,,,,1/0+1,1/0+1,1/0+1,,,,1/0+1,1/0+1,,1/0+1,,,,1/0+1,,1/1+1,,,,,,1/0+1,,,,1/1+1,1/0+1,1/0+1,1/0+1,,,1/0+1,1/0+1,1/0+1,1/0+1,,1/1+1,,1/0+1
BattleHealer,,18/9+10,9/5+9,18/9+10,6/1+17,,11/7+8,12/6+11,,9/1+19,,,24/9+13,,,,13/8+8,,,,,,,,,12/7+10,10/4+13,,20/1+20,17/6+14,15/7+11,,,,10/1+19,3/1+14,30/5+18,11/5+12,,13/1+20,,,,,,,,,,,,,,18/1+20,,,18/1+20,22/7+15,13/9+6,12/8+6,21/9+12,,,24/7+15,2/1+10,19/8+12,8/1+18,,7/4+8,,,,17/5+15,18/8+12,18/8+12,,,,9/6+7,9/6+7,,9/6+7,,,,16/8+10,,2/1+5,,,,,,13/5+13,,,,11/1+19,24/7+15,9/6+8,10/6+10,,,15/7+11,15/8+10,7/4+9,7/4+9,,10/1+19,,15/6+13
BattleRam,3/2+3,9/5+6,5/3+5,9/5+6,3/1+7,5/3+5,6/4+4,6/3+6,,5/1+8,6/3+5,6/3+5,12/4+7,4/2+5,,10/5+5,7/4+4,5/2+6,5/2+6,4/3+4,4/2+6,4/2+5,5/3+4,4/2+5,4/2+4,6/3+5,6/2+7,,10/1+10,9/3+7,8/4+5,,,,5/1+9,2/1+4,16/2+10,6/3+6,5/3+5,7/1+9,4/2+5,,,4/2+5,6/3+5,8/4+6,,5/3+4,8/4+6,,7/4+5,,,9/1+10,,,9/1+10,11/3+8,11/6+5,10/6+5,11/5+6,5/3+4,,12/3+8,1/1+1,10/4+6,4/1+8,4/2+5,4/2+4,9/7+4,5/3+5,2/1+3,9/2+8,10/4+6,10/4+6,7/4+5,4/1+8,5/3+4,5/3+4,5/3+4,2/1+2,5/3+4,3/2+3,4/3+3,,8/4+6,5/2+6,1/1+1,3/2+4,,,8/4+6,12/4+7,7/3+8,5/3+6,9/4+6,12/4+7,6/1+9,12/3+8,5/3+4,5/3+5,4/2+5,,8/4+5,8/4+5,4/2+5,4/2+5,17/9+5,6/1+9,1/1+4,8/3+7
Berserker,3/2+3,8/4+5,4/2+5,8/4+5,3/1+6,5/3+4,6/3+4,6/3+6,,4/1+8,5/3+5,5/3+5,12/4+7,4/2+5,,9/5+5,6/4+4,5/2+5,4/2+5,4/3+4,4/2+6,4/2+5,5/3+4,4/2+4,3/2+3,6/3+5,5/2+6,,10/1+9,8/3+7,7/4+5,,,,5/1+8,2/1+3,14/2+9,6/2+6,5/3+5,7/1+9,4/2+5,,,4/2+4,5/3+4,8/4+5,,4/3+4,8/4+5,,6/3+5,,,9/1+9,,,9/1+9,11/3+7,11/6+5,10/5+4,10/4+6,5/3+4,,12/3+8,1/1+1,9/4+6,4/1+7,4/2+4,3/2+4,9/6+4,5/3+5,2/1+2,8/2+8,9/4+6,9/4+6,7/4+4,4/1+7,5/3+3,5/3+3,5/3+3,2/1+2,5/3+4,3/2+3,4/3+3,,8/4+5,5/2+6,1/1+1,3/2+4,,,7/3+6,12/4+7,6/2+7,5/2+6,8/4+5,12/4+7,6/1+8,12/3+8,5/3+4,5/3+5,4/2+4,,7/4+5,7/4+5,4/2+4,4/2+4,16/9+5,5/1+8,1/1+4,7/2+7
BlowdartGoblin,1/1+2,3/1+2,2/1+2,3/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+2,1/1+3,,3/1+2,2/1+2,2/1+2,2/1+3,2/1+1,1/0+3,2/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,3/1+2,2/1+2,,,,2/1+1,1/1+1,5/0+3,2/1+2,2/1+2,2/1+2,1/1+2,,,1/1+2,2/1+1,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+2,,,3/1+2,3/1+2,6/2+3,6/2+3,3/1+2,2/1+1,,4/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/2+2,2/1+2,1/1+2,3/1+2,3/1+2,3/1+2,2/1+2,1/0+3,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,2/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,2/1+2,4/1+2,2/1+3,2/1+2,3/1+2,4/1+2,2/1+1,4/1+2,2/1+1,2/1+1,1/1+2,,2/1+2,2/1+2,1/1+2,1/1+2,5/3+2,2/1+1,1/0+3,2/1+2
BombTower,4/3+5,13/6+8,7/4+6,13/6+8,4/1+11,7/5+6,8/5+6,9/4+8,3/2+5,6/1+13,8/4+7,8/4+7,17/6+10,6/3+8,5/1+12,14/8+6,9/6+6,7/3+8,7/3+8,6/4+6,5/2+9,6/3+7,7/4+6,6/3+7,5/3+5,8/5+7,8/3+9,9/4+8,14/1+14,12/4+10,11/5+8,6/4+5,11/5+8,22/7+10,7/1+13,2/1+8,22/3+13,8/4+8,7/4+7,10/1+14,6/3+7,6/3+7,9/4+9,5/3+6,8/4+7,11/5+8,8/4+8,6/4+6,11/5+8,11/5+9,9/5+6,5/2+8,17/3+12,13/1+14,5/3+6,17/3+12,13/1+14,16/5+11,12/8+6,11/8+6,15/6+9,7/4+6,26/7+11,17/5+11,2/1+4,14/6+9,6/1+12,6/3+6,5/3+6,11/8+5,7/4+7,2/2+4,12/4+11,13/5+9,13/5+9,10/6+6,6/2+11,7/5+6,7/4+6,7/4+6,2/2+4,7/4+6,4/3+5,6/4+4,6/3+7,11/6+7,7/4+8,1/1+1,4/3+5,5/3+6,19/6+10,11/5+8,17/7+10,9/3+10,7/4+8,12/6+8,17/7+10,8/1+13,17/5+11,7/4+6,7/4+6,6/3+7,5/1+12,11/5+8,11/5+8,5/3+6,5/3+6,24/13+7,8/1+13,2/1+4,11/4+9
Bomber,1/1+2,3/2+2,2/1+2,3/2+2,1/1+1,2/1+2,2/1+2,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+3,2/1+3,,3/2+2,3/1+2,2/1+2,2/1+3,2/1+1,2/1+3,2/1+2,2/1+2,2/1+2,1/1+1,2/1+2,2/1+2,,4/1+3,3/1+3,3/1+2,,,,2/1+2,1/1+1,5/1+3,2/1+2,2/1+2,3/1+2,2/1+2,,,2/1+2,2/1+2,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+3,,,3/1+3,4/1+3,7/2+3,6/2+3,4/2+2,2/1+2,,4/1+3,1/1+1,3/1+3,2/1+1,2/1+2,1/1+2,6/3+2,2/1+2,1/1+2,3/1+3,3/1+3,3/1+3,3/1+2,2/0+4,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,2/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,3/1+2,4/1+3,3/1+3,2/1+2,3/2+2,4/1+3,2/1+2,4/1+3,2/1+1,2/1+2,2/1+2,,3/1+2,3/1+2,2/1+2,2/1+2,6/3+2,2/1+2,1/0+4,3/1+2
BossBandit,7/5+9,24/12+14,12/7+12,24/12+14,8/1+25,14/9+11,15/10+11,16/8+15,,12/1+26,14/7+14,14/7+14,33/12+18,10/5+14,,26/15+12,18/11+11,12/6+15,12/6+14,11/7+10,10/5+16,11/6+12,13/8+11,10/6+12,9/6+9,16/9+12,14/6+16,,27/1+28,23/8+19,20/10+14,,,,13/1+27,4/1+22,41/6+25,15/7+15,14/8+13,18/1+27,11/6+13,,,10/6+11,15/9+12,21/10+15,,12/7+11,21/10+15,,17/10+12,,,24/1+28,,,24/1+28,30/9+20,15/11+7,12/9+6,29/13+16,13/8+12,,33/10+21,3/1+18,26/11+17,10/1+26,10/6+13,9/6+11,14/11+7,14/8+13,4/3+6,23/7+20,25/11+16,25/11+16,19/11+12,10/3+20,13/9+10,13/8+10,13/8+10,4/3+7,13/8+10,7/5+9,11/8+8,,21/11+14,13/7+13,2/1+13,8/5+9,,,20/9+16,33/12+18,18/7+18,13/7+14,23/11+15,33/12+18,15/1+27,33/10+20,12/8+11,13/7+13,10/6+12,,20/10+14,20/11+14,10/6+11,10/6+11,46/25+13,14/1+27,2/2+9,20/8+18
Bowler,6/4+7,19/10+11,10/6+9,19/10+11,6/1+19,11/7+9,12/7+9,13/6+12,,9/1+21,11/6+11,11/6+11,26/9+15,8/4+11,,21/12+10,14/9+9,10/5+11,10/5+12,9/6+8,8/4+12,9/5+9,11/7+8,8/5+9,7/5+8,13/7+10,11/5+13,,22/1+22,18/6+15,16/8+11,,,,11/1+21,4/1+16,33/5+20,12/5+13,11/6+10,15/1+22,8/5+11,,,8/5+8,12/7+10,17/8+12,,9/6+9,17/8+12,,13/8+9,,,19/1+22,,,19/1+22,24/7+16,14/10+7,12/8+6,23/10+13,11/6+10,,26/8+16,2/1+12,21/9+14,8/1+20,8/5+11,7/5+9,13/10+6,11/6+10,3/3+6,18/6+16,20/9+13,20/9+13,15/9+9,8/2+17,10/7+8,10/7+8,10/7+8,3/2+5,10/7+9,6/4+7,9/6+6,,17/9+11,10/5+11,2/1+7,6/4+7,,,16/7+13,26/10+14,14/5+15,11/5+12,18/9+12,26/10+14,12/1+21,26/8+16,10/6+9,11/6+10,8/5+10,,16/8+11,16/9+11,8/5+9,8/5+9,36/21+11,11/1+21,2/1+9,16/6+14
BushGoblin,1/1+2,4/2+2,2/1+2,4/2+2,1/1+1,2/1+2,2/1+2,3/1+2,,2/1+2,2/1+2,2/1+2,5/1+3,2/1+3,,4/2+2,3/2+2,2/1+2,2/1+3,2/1+1,2/1+3,2/1+2,2/1+2,2/1+2,2/1+1,2/1+2,2/1+2,,4/1+3,3/1+3,3/2+2,,,,2/1+2,1/1+1,6/1+3,2/1+2,2/1+2,3/1+3,2/1+2,,,2/1+2,2/1+2,3/2+3,,2/1+2,3/2+3,,3/1+2,,,4/1+3,,,4/1+3,4/1+3,7/2+3,6/2+3,4/2+2,2/1+2,,5/1+3,1/1+1,4/1+3,2/1+1,2/1+2,2/1+2,6/3+3,2/1+2,1/1+2,3/1+3,4/1+3,4/1+3,3/2+2,2/0+4,2/1+2,2/1+2,2/1+2,1/1+2,2/1+2,1/1+2,2/1+1,,3/2+2,2/1+2,1/1+1,1/1+2,,,3/1+3,5/1+3,3/1+3,2/1+2,3/2+2,5/1+3,2/1+2,5/1+3,2/1+2,2/1+2,2/1+2,,3/2+2,3/1+3,2/1+2,2/1+2,6/3+2,2/1+2,1/0+4,3/1+3
Cannon,3/2+3,8/4+5,4/2+5,8/4+5,3/1+5,5/3+4,5/3+4,5/2+6,2/1+3,4/1+7,5/2+5,5/2+5,11/4+6,4/2+5,3/1+6,9/5+4,6/4+4,4/2+5,4/2+5,4/2+4,3/1+6,4/2+4,5/3+3,4/2+4,3/2+3,5/3+4,5/2+5,6/2+6,9/1+8,8/3+7,7/3+5,4/2+4,7/3+5,13/5+6,4/1+7,2/1+2,13/2+8,5/2+6,5/2+5,6/1+8,4/2+4,4/2+4,6/3+6,3/2+3,5/3+4,7/3+5,5/3+5,4/2+4,7/3+5,7/3+5,6/3+4,3/2+6,10/2+8,8/1+8,3/2+4,10/2+8,8/1+8,10/3+7,11/6+5,9/5+4,9/4+5,5/3+4,16/4+7,11/3+7,1/1+1,8/3+6,4/1+7,4/2+4,3/2+4,8/6+4,5/2+5,2/1+2,8/2+7,8/3+6,8/3+6,6/4+4,4/1+7,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,3/2+3,4/3+3,4/2+4,7/3+5,4/2+5,1/1+1,3/2+4,3/2+4,12/4+6,7/3+5,11/4+6,6/2+6,5/2+5,8/4+5,11/4+6,5/1+8,11/3+7,4/3+4,5/2+5,4/2+4,3/1+6,7/3+5,7/3+5,3/2+4,3/2+4,15/8+4,5/1+7,1/1+4,7/2+7
