# generated by cr_sim.data.interactions -- build unknown, 2026-08-27
# computed = ceil(effective_hitpoints / damage), honouring shields, crown-tower percent, air/ground and damage ramps. 'sim:hits/win' cells (where present) come from an actual Battle duel instead of arithmetic. Regenerate; do not hand-edit.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,PrincessTower,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
BombTower,4,13,7,13,4,7,8,9,3,6,8,8,17,6,5,14,9,7,7,6,5,6,7,6,5,8,8,9,14,12,11,6,11,22,7,2,22,8,7,10,6,6,9,5,8,11,8,6,11,11,9,5,17,13,5,17,13,16,12,11,15,7,26,17,2,14,6,6,5,11,7,2,12,13,13,10,6,7,7,7,2,7,4,15,6,6,11,7,1,4,5,19,11,17,9,7,12,17,8,17,7,7,6,5,11,11,5,5,24,8,2,11
Bomber,1,3,2,3,1,2,2,2,,2,2,2,4,2,,3,3,2,2,2,2,2,2,2,1,2,2,,4,3,3,,,,2,1,5,2,2,3,2,,,2,2,3,,2,3,,2,,,3,,,3,4,7,6,4,2,,4,1,3,2,2,1,6,2,1,3,3,3,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,4,3,2,3,4,2,4,2,2,2,,3,3,2,2,6,2,1,3
BossBandit,7,24,12,24,8,14,15,16,,12,14,14,33,10,,26,18,12,12,11,10,11,13,10,9,16,14,,27,23,20,,,,13,4,41,15,14,18,11,,,10,15,21,,12,21,,17,,,24,,,24,30,15,12,29,13,,33,3,26,10,10,9,14,14,4,23,25,25,19,10,13,13,13,4,13,7,29,11,,21,13,2,8,,,20,33,18,13,23,33,15,33,12,13,10,,20,20,10,10,46,14,2,20
Bowler,6,19,10,19,6,11,12,13,,9,11,11,26,8,,21,14,10,10,9,8,9,11,8,7,13,11,,22,18,16,,,,11,4,33,12,11,15,8,,,8,12,17,,9,17,,13,,,19,,,19,24,14,12,23,11,,26,2,21,8,8,7,13,11,3,18,20,20,15,8,10,10,10,3,10,6,23,9,,17,10,2,6,,,16,26,14,11,18,26,12,26,10,11,8,,16,16,8,8,36,11,2,16
BushGoblin,1,4,2,4,1,2,2,3,,2,2,2,5,2,,4,3,2,2,2,2,2,2,2,2,2,2,,4,3,3,,,,2,1,6,2,2,3,2,,,2,2,3,,2,3,,3,,,4,,,4,4,7,6,4,2,,5,1,4,2,2,2,6,2,1,3,4,4,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,5,3,2,3,5,2,5,2,2,2,,3,3,2,2,6,2,1,3
Cannon,3,8,4,8,3,5,5,5,2,4,5,5,11,4,3,9,6,4,4,4,3,4,5,4,3,5,5,6,9,8,7,4,7,13,4,2,13,5,5,6,4,4,6,3,5,7,5,4,7,7,6,3,10,8,3,10,8,10,11,9,9,5,16,11,1,8,4,4,3,8,5,2,8,8,8,6,4,4,4,4,1,4,3,9,4,4,7,4,1,3,3,12,7,11,6,5,8,11,5,11,4,5,4,3,7,7,3,3,15,5,1,7
DarkPrince,5,14,8,14,5,9,9,10,,8,9,9,18,6,,15,10,8,8,6,6,6,8,6,5,10,9,,16,14,11,,,,8,3,23,9,9,11,6,,,6,9,12,,8,12,,10,,,14,,,14,17,19,17,17,8,,18,3,15,6,6,5,16,9,3,14,15,15,11,6,8,8,8,3,8,5,17,6,,12,8,2,5,,,12,18,10,8,14,18,9,18,8,8,6,,11,12,6,6,26,9,2,11
DarkWitch,3,9,5,9,3,5,6,6,,4,5,5,12,4,,9,6,5,5,4,4,4,5,4,3,6,5,,10,8,7,,,,5,2,15,6,5,7,4,,,4,5,8,,4,8,,6,,,9,,,9,11,11,10,10,5,,12,1,9,4,4,3,9,5,2,8,9,9,7,4,5,5,5,2,5,3,10,4,,8,5,1,3,,,7,12,6,5,8,12,6,12,5,5,4,,7,7,4,4,16,5,1,7
DartBarrell,,6,3,6,2,,4,4,,3,,,8,,,,5,,,,,,,,,4,4,,7,6,5,,,,3,1,10,4,,5,,,,,,,,,,,,,,6,,,6,7,9,8,7,,,8,1,6,3,,2,,,,6,6,6,,,,3,3,,3,,7,,,5,,1,,,,,,5,,,,4,8,3,4,,,5,5,3,3,,4,,5
ElectroDragon,,10,5,10,3,,6,7,,5,,,13,,,,7,,,,,,,,,7,6,,11,9,8,,,,6,2,17,6,,8,,,,,,,,,,,,,,10,,,10,12,11,11,12,,,13,1,11,4,,4,,,,9,10,10,,,,5,5,,5,,12,,,9,,1,,,,,,7,,,,6,13,5,6,,,8,8,4,4,,6,,8
ElectroGiant,11,36,18,36,11,21,23,24,,18,21,21,49,15,,39,27,18,18,17,14,16,20,15,13,24,21,,40,34,30,,,,20,6,62,23,21,27,16,,,15,22,32,,18,32,,25,,,36,,,36,45,18,14,43,20,,49,4,38,15,15,13,17,21,6,34,37,37,29,15,19,19,19,5,19,11,43,16,,32,19,3,11,,,30,49,27,20,34,49,23,49,18,20,15,,30,30,15,15,69,21,3,30
ElectroSpirit,1,2,1,2,1,2,2,2,,1,2,2,3,1,,3,2,1,1,1,1,1,2,1,1,2,2,,3,2,2,,,,2,1,4,2,2,2,1,,,1,2,2,,1,2,,2,,,2,,,2,3,6,6,3,2,,3,1,3,1,1,1,6,2,1,2,3,3,2,1,2,1,1,1,1,1,3,1,,2,1,1,1,,,2,3,2,2,2,3,2,3,1,2,1,,2,2,1,1,4,2,1,2
ElectroWizard,2,7,4,7,2,4,4,5,,4,4,4,9,3,,7,5,4,4,3,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,4,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,9,10,9,8,4,,9,1,7,3,3,3,8,4,1,7,7,7,6,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,7,9,4,9,4,4,3,,6,6,3,3,13,4,1,6
EliteArcher,2,5,3,5,2,3,3,4,,3,3,3,7,2,,6,4,3,3,3,2,3,3,2,2,4,3,,6,5,4,,,,3,1,9,3,3,4,3,,,2,3,5,,3,5,,4,,,5,,,5,6,8,7,6,3,,7,1,6,2,2,2,7,3,1,5,5,5,4,2,3,3,3,1,3,2,6,3,,5,3,1,2,,,4,7,4,3,5,7,3,7,3,3,2,,4,4,2,2,10,3,1,4
Elixir Collector,3,10,5,10,3,6,6,7,2,5,6,6,14,4,4,11,8,5,5,5,4,5,6,5,4,7,6,7,11,10,8,5,9,17,6,2,17,6,6,8,5,5,7,4,6,9,7,5,9,9,7,4,13,10,4,13,10,13,11,11,12,6,21,14,2,11,4,4,4,10,6,2,10,10,10,8,5,6,5,5,2,5,3,12,5,5,9,5,1,3,4,15,9,14,8,6,10,14,6,14,5,6,5,4,8,9,4,4,19,6,1,8
ElixirGolem,5,15,7,15,5,9,9,10,,7,9,9,20,6,,16,11,8,7,7,6,7,8,6,5,10,9,,16,14,12,,,,8,3,25,9,9,11,7,,,6,9,13,,7,13,,10,,,15,,,15,18,12,11,18,8,,20,2,16,6,6,6,11,9,3,14,15,15,12,6,8,8,8,2,8,5,18,7,,13,8,2,5,,,12,20,11,8,14,20,9,20,8,8,6,,12,12,6,6,28,9,2,12
ElixirGolem2,2,7,4,7,3,4,5,5,,4,4,4,10,3,,8,6,4,4,4,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,5,4,6,3,,,3,5,7,,4,7,,5,,,7,,,7,9,10,9,9,4,,10,1,8,3,3,3,8,4,2,7,8,8,6,3,4,4,4,1,4,2,9,3,,7,4,1,3,,,6,10,6,4,7,10,5,10,4,4,3,,6,6,3,3,14,4,1,6
ElixirGolem4,1,4,2,4,1,2,3,3,,2,2,2,5,2,,4,3,2,2,2,2,2,2,2,2,3,2,,4,4,3,,,,2,1,6,3,2,3,2,,,2,2,3,,2,3,,3,,,4,,,4,5,7,6,4,2,,5,1,4,2,2,2,6,2,1,4,4,4,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,5,3,2,4,5,3,5,2,2,2,,3,3,2,2,7,2,1,3
FireSpirits,1,2,1,2,1,2,2,2,,1,2,2,3,1,,3,2,1,1,1,1,1,2,1,1,2,2,,3,2,2,,,,2,1,4,2,2,2,1,,,1,2,2,,1,2,,2,,,2,,,2,3,6,6,3,2,,3,1,3,1,1,1,6,2,1,2,3,3,2,1,2,1,1,1,1,1,3,1,,2,1,1,1,,,2,3,2,2,2,3,2,3,1,2,1,,2,2,1,1,4,2,1,2
Firecracker,1,3,2,3,1,2,2,2,,2,2,2,4,2,,3,3,2,2,2,2,2,2,2,1,2,2,,4,3,3,,,,2,1,5,2,2,3,2,,,2,2,3,,2,3,,2,,,3,,,3,4,7,6,4,2,,4,1,3,2,2,1,6,2,1,3,3,3,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,4,3,2,3,4,2,4,2,2,2,,3,3,2,2,6,2,1,3
FirespiritHut,2,7,4,7,2,4,5,5,,4,4,4,9,3,,8,5,4,4,3,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,5,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,9,10,9,8,4,,9,1,7,3,3,3,8,4,1,7,7,7,6,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,7,9,5,9,4,4,3,,6,6,3,3,13,4,1,6
Fisherman,3,8,4,8,3,5,5,6,,4,5,5,11,4,,9,6,4,4,4,4,4,5,4,3,6,5,,9,8,7,,,,5,2,14,5,5,6,4,,,4,5,7,,4,7,,6,,,8,,,8,10,11,10,10,5,,11,1,9,4,4,3,9,5,2,8,9,9,7,4,5,5,5,2,5,3,10,4,,7,5,1,3,,,7,11,6,5,8,11,5,11,4,5,4,,7,7,4,4,15,5,1,7
Ghost,,11,6,11,4,,7,8,,6,,,15,,,,9,,,,,,,,,8,7,,13,11,9,,,,6,2,19,7,,9,,,,,,,,,,,,,,11,,,11,14,12,11,14,,,15,2,12,5,,4,,,,11,12,12,,,,6,6,,6,,14,,,10,,1,,,,,,9,,,,7,15,6,6,,,9,10,5,5,,7,,9
Giant,11,36,18,36,11,21,23,24,,18,21,21,49,15,,39,27,18,18,17,14,16,20,15,13,24,21,,41,34,30,,,,20,6,62,23,21,27,16,,,15,22,32,,18,32,,25,,,37,,,37,45,18,14,44,20,,49,4,39,15,15,13,17,21,6,34,38,38,29,15,19,19,19,5,19,11,44,16,,32,19,3,11,,,30,49,27,20,34,49,23,49,19,20,15,,30,30,15,15,69,21,3,30
GiantBuffer,8,26,13,26,8,15,16,17,,13,15,15,35,11,,28,19,13,13,12,10,11,14,11,9,17,15,,29,25,21,,,,14,5,44,16,15,20,11,,,11,16,23,,13,23,,18,,,26,,,26,32,15,13,31,14,,35,3,28,11,11,10,14,15,4,25,27,27,21,11,14,13,13,4,13,8,31,11,,23,13,2,8,,,22,35,19,14,25,35,16,35,13,14,11,,21,22,11,11,49,15,3,21
GiantSkeleton,9,31,15,31,10,18,19,21,,15,18,18,42,13,,33,23,16,15,14,12,14,17,13,11,20,18,,34,29,25,,,,17,5,53,19,18,23,13,,,13,19,27,,15,27,,21,,,31,,,31,38,17,13,37,17,,42,4,33,13,13,11,16,18,5,29,32,32,25,13,16,16,16,4,16,9,37,14,,27,16,3,10,,,26,42,23,17,29,42,19,42,16,17,13,,25,26,12,12,58,18,3,25
GoblinCage,3,7,4,7,3,5,5,5,2,4,5,5,10,3,3,8,6,4,4,4,3,4,4,3,3,5,5,5,8,7,6,4,7,13,4,2,13,5,5,6,3,4,6,3,5,7,5,4,7,7,5,3,10,8,3,10,8,9,11,9,9,4,15,10,1,8,3,3,3,8,5,2,7,8,8,6,3,4,4,4,1,4,2,9,4,4,7,4,1,3,3,11,6,10,6,4,7,10,5,10,4,4,3,3,6,6,3,3,14,5,1,6
GoblinDemolisher,4,12,6,12,4,7,8,8,,6,7,7,17,5,,13,9,6,6,6,5,6,7,5,5,8,7,,14,12,10,,,,7,2,21,8,7,9,5,,,5,7,11,,6,11,,9,,,12,,,12,15,12,11,15,7,,17,2,13,5,5,5,11,7,2,12,13,13,10,5,7,6,6,2,6,4,15,6,,11,6,1,4,,,10,17,9,7,12,17,8,17,6,7,5,,10,10,5,5,23,7,1,10
GoblinDrill,7,23,12,23,7,14,15,16,,12,14,14,32,10,,26,17,12,12,11,9,10,13,10,9,15,14,,26,22,19,,,,13,4,40,15,14,18,10,,,10,14,21,,12,21,,16,,,24,,,24,29,15,12,28,13,,32,3,25,10,10,9,14,14,4,22,24,24,19,10,13,12,12,4,12,7,28,10,,21,12,2,7,,,20,32,17,13,22,32,15,32,12,13,10,,19,20,10,10,45,14,2,19
GoblinGang,1,2,1,2,1,2,2,2,,1,2,2,3,1,,2,2,1,1,1,1,1,1,1,1,2,2,,3,2,2,,,,1,1,4,2,2,2,1,,,1,2,2,,1,2,,2,,,2,,,2,3,6,5,3,1,,3,1,2,1,1,1,5,2,1,2,2,2,2,1,1,1,1,1,1,1,3,1,,2,1,1,1,,,2,3,2,1,2,3,2,3,1,1,1,,2,2,1,1,4,2,1,2
GoblinGiant,9,28,14,28,9,17,18,19,,14,17,17,39,12,,31,21,15,14,13,11,13,16,12,10,19,17,,32,27,24,,,,16,5,49,18,17,22,12,,,12,17,25,,14,25,,20,,,29,,,29,35,16,13,34,16,,39,3,30,12,12,10,15,17,5,27,30,30,23,12,15,15,15,4,15,8,34,13,,25,15,3,9,,,24,39,21,16,27,39,18,39,15,16,12,,24,24,12,12,54,17,3,24
GoblinHut,4,11,6,11,4,7,7,8,2,6,7,7,15,5,5,12,8,6,6,5,5,5,6,5,4,7,7,8,12,11,9,5,10,19,6,2,19,7,7,8,5,5,8,5,7,10,7,6,10,10,8,4,15,11,4,15,11,14,11,11,13,6,23,15,2,12,5,5,4,10,7,2,11,12,12,9,5,6,6,6,2,6,4,13,5,5,10,6,1,4,4,16,9,15,8,6,11,15,7,15,6,6,5,5,9,9,5,5,21,7,1,9
GoblinMachine,6,21,11,21,7,12,13,14,,10,12,12,28,9,,23,15,11,11,10,8,9,12,9,8,14,12,,23,20,17,,,,11,4,36,13,12,16,9,,,9,13,19,,10,19,,15,,,21,,,21,26,14,12,25,12,,28,3,22,9,9,8,13,12,3,20,22,22,17,9,11,11,11,3,11,6,25,9,,19,11,2,7,,,18,28,15,12,20,28,13,28,11,12,9,,17,18,9,9,40,12,2,17
Goblins,1,2,1,2,1,2,2,2,,1,2,2,3,1,,2,2,1,1,1,1,1,1,1,1,2,2,,3,2,2,,,,1,1,4,2,2,2,1,,,1,2,2,,1,2,,2,,,2,,,2,3,6,5,3,1,,3,1,2,1,1,1,5,2,1,2,2,2,2,1,1,1,1,1,1,1,3,1,,2,1,1,1,,,2,3,2,1,2,3,2,3,1,1,1,,2,2,1,1,4,2,1,2
Goblinstein,7,22,11,22,7,13,14,15,,11,13,13,30,9,,24,16,11,11,10,9,10,12,9,8,14,13,,25,21,18,,,,12,4,38,14,13,17,10,,,9,13,20,,11,20,,15,,,22,,,22,27,14,12,26,12,,30,3,23,9,9,8,13,13,4,21,23,23,18,9,12,11,11,3,11,7,26,10,,20,11,2,7,,,18,30,16,12,21,30,14,30,11,12,9,,18,18,9,9,42,13,2,18
GoldenKnight,5,17,8,17,5,10,11,11,,8,10,10,23,7,,18,12,9,8,8,7,8,9,7,6,11,10,,19,16,14,,,,9,3,29,11,10,13,7,,,7,10,15,,8,15,,12,,,17,,,17,21,13,11,20,9,,23,2,18,7,7,6,12,10,3,16,17,17,13,7,9,9,9,3,9,5,20,8,,15,9,2,5,,,14,23,12,9,16,23,11,23,9,9,7,,14,14,7,7,32,10,2,14
Golem,14,46,23,46,14,27,29,31,,23,27,27,64,20,,51,34,24,23,21,18,20,26,20,17,30,27,,52,44,38,,,,25,8,80,29,27,35,20,,,19,28,41,,23,41,,32,,,47,,,47,58,21,15,56,26,,64,5,50,20,20,17,20,27,7,44,48,48,37,20,25,24,24,7,24,14,56,20,,41,24,4,14,,,39,64,34,26,44,64,29,64,24,26,20,,38,39,19,19,89,27,4,38
Golemite,3,10,5,10,3,6,6,7,,5,6,6,13,4,,11,7,5,5,5,4,5,6,4,4,7,6,,11,9,8,,,,6,2,17,6,6,8,4,,,4,6,9,,5,9,,7,,,10,,,10,12,11,11,12,6,,13,1,10,4,4,4,10,6,2,9,10,10,8,4,5,5,5,2,5,3,12,5,,9,5,1,3,,,8,13,7,6,9,13,6,13,5,6,4,,8,8,4,4,18,6,1,8
Heal,1,2,1,2,1,2,2,2,,1,2,2,3,1,,3,2,1,1,1,1,1,2,1,1,2,2,,3,2,2,,,,2,1,4,2,2,2,1,,,1,2,2,,1,2,,2,,,2,,,2,3,6,6,3,2,,3,1,3,1,1,1,6,2,1,2,3,3,2,1,2,1,1,1,1,1,3,1,,2,1,1,1,,,2,3,2,2,2,3,2,3,1,2,1,,2,2,1,1,4,2,1,2
HogRider,5,16,8,16,5,9,10,11,,8,9,9,21,7,,17,12,8,8,7,6,7,9,7,6,10,9,,18,15,13,,,,9,3,27,10,9,12,7,,,7,10,14,,8,14,,11,,,16,,,16,20,13,11,19,9,,21,2,17,7,7,6,12,9,3,15,16,16,13,7,9,8,8,3,8,5,19,7,,14,8,2,5,,,13,21,12,9,15,21,10,21,8,9,7,,13,13,7,7,30,9,2,13
Hunter,3,8,4,8,3,5,5,6,,4,5,5,11,4,,9,6,4,4,4,4,4,5,4,3,6,5,,9,8,7,,,,5,2,14,5,5,6,4,,,4,5,8,,4,8,,6,,,9,,,9,10,11,10,10,5,,11,1,9,4,4,3,9,5,2,8,9,9,7,4,5,5,5,2,5,3,10,4,,8,5,1,3,,,7,11,6,5,8,11,5,11,5,5,4,,7,7,4,4,16,5,1,7
IceGolemite,4,12,6,12,4,7,8,8,,6,7,7,17,5,,13,9,6,6,6,5,6,7,5,5,8,7,,14,12,10,,,,7,2,21,8,7,9,6,,,5,8,11,,6,11,,9,,,12,,,12,15,12,11,15,7,,17,2,13,5,5,5,11,7,2,12,13,13,10,5,7,7,7,2,7,4,15,6,,11,7,1,4,,,10,17,9,7,12,17,8,17,6,7,5,,10,10,5,5,23,7,1,10
